Player Name,Batting Average,Batting Strike rate,Batting Rating Points
"Ravi Bopara "," 						  28.44 					"," 						  118.69 					","31.097718"
"Stuart Broad "," 						  7.37 					"," 						  100.00 					","7.37"
"Michael Carberry "," 						  7.00 					"," 						  100.00 					","7.0"
"Paul Collingwood "," 						  18.80 					"," 						  127.01 					","21.33894"
"Alastair Cook "," 						  15.25 					"," 						  112.96 					","16.2382"
"Andrew Flintoff "," 						  12.66 					"," 						  126.66 					","14.347578"
"James Foster "," 						  12.33 					"," 						  115.62 					","13.292973"
"Gavin Hamilton "," 						  11.25 					"," 						  81.81 					","10.2268125"
"Geraint Jones "," 						  33.00 					"," 						  132.00 					","38.28"
"Jon Lewis "," 						  1.00 					"," 						  25.00 					","0.625"
"Darren Maddy "," 						  28.25 					"," 						  141.25 					","34.0765625"
"Samit Patel "," 						  15.75 					"," 						  109.24 					","16.47765"
"Monty Panesar "," 						  1.00 					"," 						  50.00 					","0.75"
"Matt Prior "," 						  21.16 					"," 						  127.00 					","24.0166"
"Liam Plunkett "," 						  3.83 					"," 						  109.52 					","4.012308"
"Kevin Pietersen "," 						  37.93 					"," 						  141.51 					","45.8023715"
"Chris Read "," 						  13.00 					"," 						  118.18 					","14.1817"
"Chris Schofield "," 						  24.00 					"," 						  120.00 					","26.4"
"Owais Shah "," 						  24.78 					"," 						  122.18 					","27.528102"
"Andrew Strauss "," 						  18.25 					"," 						  114.06 					","19.532975"
"Graeme Swann "," 						  20.80 					"," 						  116.85 					","22.5524"
"Liam Dawson "," 						  17.00 					"," 						  212.50 					","26.5625"
"Marcus Trescothick "," 						  55.33 					"," 						  126.71 					","62.7193215"
"James Tredwell "," 						  10.66 					"," 						  160.00 					","13.858"
"Michael Vaughan "," 						  13.50 					"," 						  122.72 					","15.0336"
"Dawid Malan "," 						  50.00 					"," 						  150.60 					","62.65"
"Amjad Khan "," 						  2.00 					"," 						  50.00 					","1.5"
"Adil Rashid "," 						  7.60 					"," 						  77.55 					","6.7469"
"Eoin Morgan "," 						  29.96 					"," 						  132.33 					","34.803034"
"Boyd Rankin "," 						  15.50 					"," 						  96.87 					","15.257425"
"Chris Woakes "," 						  30.33 					"," 						  144.44 					","37.069326"
"Alex Hales "," 						  31.65 					"," 						  136.32 					","37.39764"
"Chris Jordan "," 						  14.81 					"," 						  117.26 					","16.088103"
"James Vince "," 						  27.71 					"," 						  117.57 					","30.1443235"
"Jonny Bairstow "," 						  25.30 					"," 						  120.07 					","27.838855"
"Joe Root "," 						  39.10 					"," 						  128.76 					","44.72258"
"Jos Buttler "," 						  25.45 					"," 						  134.29 					","29.8134025"
"Scott Borthwick "," 						  14.00 					"," 						  87.50 					","13.125"
"Ben Stokes "," 						  14.76 					"," 						  136.17 					","17.429346"
"Jonathan Trott "," 						  23.00 					"," 						  95.83 					","22.52045"
"Tom Curran "," 						  8.00 					"," 						  133.33 					","9.3332"
"James Anderson "," 						  1.00 					"," 						  50.00 					","0.75"
"Moeen Ali "," 						  14.42 					"," 						  112.84 					","15.345764"
"Gareth Batty "," 						  4.00 					"," 						  57.14 					","3.1428"
"Ian Bell "," 						  26.85 					"," 						  115.33 					","28.9080525"
"Tim Bresnan "," 						  16.61 					"," 						  127.05 					","18.8565025"
