Player Name,Bowling Average,Bowling Economy rate,Bowling Strike rate,Bowling Rating Points
"Dean Elgar "," 						  42.71 					"," 						  3.78 					"," 						  67.6 					","35.201582"
"Wayne Parnell "," 						  27.60 					"," 						  4.46 					"," 						  37.0 					","21.9972"
"Keshav Maharaj "," 						  28.00 					"," 						  3.05 					"," 						  54.9 					","21.3444"
"Kyle Abbott "," 						  22.71 					"," 						  2.55 					"," 						  53.3 					","16.671411"
"Temba Bavuma "," 						  61.00 					"," 						  3.81 					"," 						  96.0 					","53.8325"
"Tabraiz Shamsi "," 						  75.00 					"," 						  3.42 					"," 						  131.5 					","70.05"
"Marchant de Lange "," 						  30.77 					"," 						  3.70 					"," 						  49.7 					","24.135988"
"Imran Tahir "," 						  40.24 					"," 						  3.50 					"," 						  68.8 					","32.699024"
"Paul Adams "," 						  32.87 					"," 						  2.98 					"," 						  66.0 					","25.67147"
"Chris Morris "," 						  38.25 					"," 						  4.42 					"," 						  51.9 					","31.5486"
"Nicky Boje "," 						  42.65 					"," 						  2.96 					"," 						  86.2 					","34.99006"
"Tertius Bosch "," 						  34.66 					"," 						  2.63 					"," 						  79.0 					","27.36407"
"Mark Boucher "," 						  6.00 					"," 						  4.50 					"," 						  8.0 					","4.446"
"Johan Botha "," 						  33.70 					"," 						  3.38 					"," 						  59.8 					","26.57582"
"Hansie Cronje "," 						  29.95 					"," 						  2.03 					"," 						  88.3 					","23.304095"
"Daryll Cullinan "," 						  35.50 					"," 						  3.55 					"," 						  60.0 					","28.31125"
"Alan Dawson "," 						  23.40 					"," 						  2.78 					"," 						  50.4 					","17.31132"
"Fanie de Villiers "," 						  24.27 					"," 						  2.57 					"," 						  56.5 					","17.996205"
"Allan Donald "," 						  22.25 					"," 						  2.83 					"," 						  47.0 					","16.364875"
"Jean-Paul Duminy "," 						  38.11 					"," 						  3.55 					"," 						  64.3 					","30.720471"
"AB de Villiers "," 						  52.00 					"," 						  3.05 					"," 						  102.0 					","44.538"
"Clive Eksteen "," 						  61.75 					"," 						  1.92 					"," 						  192.0 					","60.515"
"Steve Elworthy "," 						  34.15 					"," 						  3.07 					"," 						  66.6 					","26.865805"
"Andrew Hall "," 						  35.93 					"," 						  3.23 					"," 						  66.6 					","28.553571"
"Nantie Hayward "," 						  29.79 					"," 						  3.42 					"," 						  52.2 					","23.099166"
"Claude Henderson "," 						  42.18 					"," 						  2.83 					"," 						  89.1 					","34.574946"
"Omar Henry "," 						  63.00 					"," 						  2.65 					"," 						  142.3 					","57.7773"
"Paul Harris "," 						  37.87 					"," 						  2.65 					"," 						  85.5 					","30.428545"
"Steven Jack "," 						  24.50 					"," 						  2.54 					"," 						  57.7 					","18.1888"
"Jacques Kallis "," 						  32.65 					"," 						  2.82 					"," 						  69.2 					","25.44741"
"Justin Kemp "," 						  24.66 					"," 						  2.78 					"," 						  53.2 					","18.381564"
"Gary Kirsten "," 						  71.00 					"," 						  2.44 					"," 						  174.5 					","68.941"
"Lance Klusener "," 						  37.91 					"," 						  2.64 					"," 						  86.0 					","30.47964"
"Rory Kleinveldt "," 						  42.20 					"," 						  3.79 					"," 						  66.7 					","34.72638"
"Charl Langeveldt "," 						  37.06 					"," 						  3.56 					"," 						  62.4 					","29.751768"
"Craig Matthews "," 						  28.88 					"," 						  2.26 					"," 						  76.5 					","22.12208"
"Brian McMillan "," 						  33.82 					"," 						  2.51 					"," 						  80.6 					","26.606194"
"Albie Morkel "," 						  132.00 					"," 						  4.12 					"," 						  192.0 					","143.88"
"Ryan McLaren "," 						  54.00 					"," 						  3.68 					"," 						  88.0 					","46.44"
"Morne Morkel "," 						  27.73 					"," 						  3.11 					"," 						  53.4 					","21.138579"
"Andre Nel "," 						  31.86 					"," 						  3.08 					"," 						  62.0 					","24.78708"
"Makhaya Ntini "," 						  28.82 					"," 						  3.23 					"," 						  53.4 					","22.142406"
"Justin Ontong "," 						  133.00 					"," 						  4.31 					"," 						  185.0 					","144.3715"
"Robin Peterson "," 						  37.26 					"," 						  3.37 					"," 						  66.1 					","29.834082"
"Shaun Pollock "," 						  23.11 					"," 						  2.39 					"," 						  57.8 					","16.988161"
"Ashwell Prince "," 						  47.00 					"," 						  2.93 					"," 						  96.0 					","39.4095"
"Meyrick Pringle "," 						  54.00 					"," 						  2.48 					"," 						  130.4 					","47.7792"
"Alviro Petersen "," 						  62.00 					"," 						  3.26 					"," 						  114.0 					","55.242"
"Vernon Philander "," 						  22.18 					"," 						  2.67 					"," 						  49.8 					","16.260158"
"Jacques Rudolph "," 						  108.00 					"," 						  3.90 					"," 						  166.0 					","110.916"
"Brett Schultz "," 						  20.24 					"," 						  2.59 					"," 						  46.8 					","14.635544"
"Richard Snell "," 						  28.31 					"," 						  3.14 					"," 						  53.9 					","21.651488"
"Pat Symcox "," 						  43.32 					"," 						  2.70 					"," 						  96.2 					","35.842968"
"Graeme Smith "," 						  110.62 					"," 						  3.74 					"," 						  177.2 					","115.199668"
"Dale Steyn "," 						  22.32 					"," 						  3.22 					"," 						  41.5 					","16.60608"
"David Terbrugge "," 						  25.85 					"," 						  3.06 					"," 						  50.6 					","19.49607"
"Lonwabo Tsotsobe "," 						  49.77 					"," 						  3.08 					"," 						  96.6 					","42.165144"
"Charl Willoughby "," 						  125.00 					"," 						  2.50 					"," 						  300.0 					","153.125"
"Monde Zondeki "," 						  25.26 					"," 						  3.69 					"," 						  41.0 					","19.36179"
"Andile Phehlukwayo "," 						  13.36 					"," 						  3.52 					"," 						  22.7 					","9.637904"
"Lungi Ngidi "," 						  16.42 					"," 						  2.88 					"," 						  34.2 					","11.697608"
"Kagiso Rabada "," 						  21.56 					"," 						  3.32 					"," 						  38.9 					","16.036328"
